 ,Area,Mean,Min,Max,Angle,Length
925,2.098,995.005,891.5,1058.94,+AC0-135,4.323
926,2.289,996.837,884,1073.471,+AC0-21.801,4.789
927,2.289,925.124,699.667,1066.031,+AC0-90,4.879
928,2.098,964.572,869.222,1044.999,0,4.221
929,1.907,923.569,838.001,981.927,+AC0-110.556,4.123
930,2.289,912.111,818.277,960.612,+AC0-30.964,4.807
931,3.242,818.958,614,904.792,+AC0-137.49,7.154
932,3.242,830.047,755.248,907.708,+AC0-42.51,6.957
933,4.196,851.359,751.5,928.791,+AC0-101.31,9.121
934,5.34,892.091,802.007,969.889,+AC0-19.093,11.946
